record_type,game_date,team,team_id,division,wins,losses,pct,games_back,streak,runs_scored,runs_allowed,run_differential,last_10,timestamp
standing,2026-04-14,Rays,139,,8,7,0.533,-,W3,70,80,-10,6,2026-04-14 22:09:08
standing,2026-04-14,Yankees,147,,9,8,0.529,-,L1,77,61,16,3,2026-04-14 22:09:08
standing,2026-04-14,Orioles,110,,9,8,0.529,-,L1,72,70,2,6,2026-04-14 22:09:08
standing,2026-04-14,Blue Jays,141,,6,9,0.4,2.0,L2,57,82,-25,2,2026-04-14 22:09:08
standing,2026-04-14,Red Sox,111,,6,10,0.375,2.5,L1,68,75,-7,5,2026-04-14 22:09:08
standing,2026-04-14,Twins,142,,10,7,0.588,-,W3,92,77,15,7,2026-04-14 22:09:08
standing,2026-04-14,Guardians,114,,10,7,0.588,-,W1,67,70,-3,6,2026-04-14 22:09:08
standing,2026-04-14,Tigers,116,,8,9,0.471,2.0,W4,72,61,11,5,2026-04-14 22:09:08
standing,2026-04-14,Royals,118,,7,10,0.412,3.0,L2,55,67,-12,4,2026-04-14 22:09:08
standing,2026-04-14,White Sox,145,,6,10,0.375,3.5,W1,49,79,-30,5,2026-04-14 22:09:08
standing,2026-04-14,Rangers,140,,9,7,0.563,-,W2,67,56,11,5,2026-04-14 22:09:08
standing,2026-04-14,Angels,108,,9,9,0.5,1.0,W1,90,89,1,6,2026-04-14 22:09:08
standing,2026-04-14,Athletics,133,,8,8,0.5,1.0,L1,64,73,-9,7,2026-04-14 22:09:08
standing,2026-04-14,Mariners,136,,8,9,0.471,1.5,W4,69,58,11,5,2026-04-14 22:09:08
standing,2026-04-14,Astros,117,,6,11,0.353,3.5,L8,95,107,-12,1,2026-04-14 22:09:08
standing,2026-04-14,Braves,144,,11,7,0.611,-,W1,100,59,41,5,2026-04-14 22:09:08
standing,2026-04-14,Marlins,146,,9,9,0.5,2.0,L1,85,80,5,4,2026-04-14 22:09:08
standing,2026-04-14,Phillies,143,,8,9,0.471,2.5,L1,70,86,-16,4,2026-04-14 22:09:08
standing,2026-04-14,Nationals,120,,8,9,0.471,2.5,W1,99,108,-9,5,2026-04-14 22:09:08
standing,2026-04-14,Mets,121,,7,10,0.412,3.5,L6,62,69,-7,4,2026-04-14 22:09:08
standing,2026-04-14,Pirates,134,,10,7,0.588,-,L1,86,68,18,6,2026-04-14 22:09:08
standing,2026-04-14,Reds,113,,10,7,0.588,-,W1,56,71,-15,6,2026-04-14 22:09:08
standing,2026-04-14,Brewers,158,,8,7,0.533,1.0,L5,80,64,16,4,2026-04-14 22:09:08
standing,2026-04-14,Cardinals,138,,8,8,0.5,1.5,L3,69,89,-20,4,2026-04-14 22:09:08
standing,2026-04-14,Cubs,112,,8,9,0.471,2.0,W1,83,73,10,5,2026-04-14 22:09:08
standing,2026-04-14,Dodgers,119,,12,4,0.75,-,W1,95,56,39,8,2026-04-14 22:09:08
standing,2026-04-14,Padres,135,,10,6,0.625,2.0,W5,74,60,14,8,2026-04-14 22:09:08
standing,2026-04-14,Arizona Diamondbacks,109,,10,8,0.556,3.0,W1,75,82,-7,7,2026-04-14 22:09:08
standing,2026-04-14,Rockies,115,,6,10,0.375,6.0,L4,65,71,-6,4,2026-04-14 22:09:08
standing,2026-04-14,Giants,137,,6,11,0.353,6.5,L3,52,74,-22,3,2026-04-14 22:09:08
standing,2026-04-15,Rays,139,,9,7,0.563,-,W4,78,85,-7,7,2026-04-15 10:04:26
standing,2026-04-15,Yankees,147,,9,8,0.529,0.5,L1,77,61,16,3,2026-04-15 10:04:26
standing,2026-04-15,Orioles,110,,9,8,0.529,0.5,L1,72,70,2,6,2026-04-15 10:04:26
standing,2026-04-15,Blue Jays,141,,7,9,0.438,2.0,W1,66,89,-23,3,2026-04-15 10:04:26
standing,2026-04-15,Red Sox,111,,6,11,0.353,3.5,L2,68,81,-13,4,2026-04-15 10:04:26
standing,2026-04-15,Twins,142,,11,7,0.611,-,W4,98,77,21,8,2026-04-15 10:04:26
standing,2026-04-15,Guardians,114,,10,8,0.556,1.0,L1,72,76,-4,5,2026-04-15 10:04:26
standing,2026-04-15,Tigers,116,,8,9,0.471,2.5,W4,72,61,11,5,2026-04-15 10:04:26
standing,2026-04-15,Royals,118,,7,10,0.412,3.5,L2,55,67,-12,4,2026-04-15 10:04:26
standing,2026-04-15,White Sox,145,,6,11,0.353,4.5,L1,54,87,-33,4,2026-04-15 10:04:26
standing,2026-04-15,Rangers,140,,9,8,0.529,-,L1,68,58,10,5,2026-04-15 10:04:26
standing,2026-04-15,Athletics,133,,9,8,0.529,-,W1,66,74,-8,7,2026-04-15 10:04:26
standing,2026-04-15,Angels,108,,9,9,0.5,0.5,W1,90,89,1,6,2026-04-15 10:04:26
standing,2026-04-15,Mariners,136,,8,10,0.444,1.5,L1,70,62,8,4,2026-04-15 10:04:26
standing,2026-04-15,Astros,117,,7,11,0.389,2.5,W1,102,113,-11,2,2026-04-15 10:04:26
standing,2026-04-15,Braves,144,,11,7,0.611,-,W1,100,59,41,5,2026-04-15 10:04:26
standing,2026-04-15,Marlins,146,,9,9,0.5,2.0,L1,85,80,5,4,2026-04-15 10:04:26
standing,2026-04-15,Phillies,143,,8,9,0.471,2.5,L1,70,86,-16,4,2026-04-15 10:04:26
standing,2026-04-15,Nationals,120,,8,9,0.471,2.5,W1,99,108,-9,5,2026-04-15 10:04:26
standing,2026-04-15,Mets,121,,7,11,0.389,4.0,L7,63,71,-8,3,2026-04-15 10:04:26
standing,2026-04-15,Pirates,134,,10,7,0.588,-,L1,86,68,18,6,2026-04-15 10:04:26
standing,2026-04-15,Reds,113,,10,7,0.588,-,W1,56,71,-15,6,2026-04-15 10:04:26
standing,2026-04-15,Cardinals,138,,9,8,0.529,1.0,W1,75,94,-19,5,2026-04-15 10:04:26
standing,2026-04-15,Brewers,158,,8,8,0.5,1.5,L6,87,73,14,3,2026-04-15 10:04:26
standing,2026-04-15,Cubs,112,,8,9,0.471,2.0,W1,83,73,10,5,2026-04-15 10:04:26
standing,2026-04-15,Dodgers,119,,13,4,0.765,-,W2,97,57,40,8,2026-04-15 10:04:26
standing,2026-04-15,Padres,135,,11,6,0.647,2.0,W6,78,61,17,9,2026-04-15 10:04:26
standing,2026-04-15,Arizona Diamondbacks,109,,10,8,0.556,3.5,W1,75,82,-7,7,2026-04-15 10:04:26
standing,2026-04-15,Giants,137,,6,11,0.353,7.0,L3,52,74,-22,3,2026-04-15 10:04:26
standing,2026-04-15,Rockies,115,,6,11,0.353,7.0,L5,71,78,-7,4,2026-04-15 10:04:26
standing,2026-04-16,Rays,139,,10,7,0.588,-,W5,86,88,-2,8,2026-04-16 05:19:49
standing,2026-04-16,Yankees,147,,10,8,0.556,0.5,W1,82,65,17,3,2026-04-16 05:19:49
standing,2026-04-16,Orioles,110,,9,9,0.5,1.5,L2,77,78,-1,6,2026-04-16 05:19:49
standing,2026-04-16,Blue Jays,141,,7,10,0.412,3.0,L1,67,91,-24,3,2026-04-16 05:19:49
standing,2026-04-16,Red Sox,111,,7,11,0.389,3.5,W1,77,86,-9,5,2026-04-16 05:19:49
standing,2026-04-16,Twins,142,,11,8,0.579,-,L1,103,86,17,8,2026-04-16 05:19:49
standing,2026-04-16,Guardians,114,,10,9,0.526,1.0,L2,75,81,-6,5,2026-04-16 05:19:49
standing,2026-04-16,Tigers,116,,9,9,0.5,1.5,W5,74,62,12,5,2026-04-16 05:19:49
standing,2026-04-16,Royals,118,,7,11,0.389,3.5,L3,56,69,-13,3,2026-04-16 05:19:49
standing,2026-04-16,White Sox,145,,6,12,0.333,4.5,L2,57,95,-38,3,2026-04-16 05:19:49
standing,2026-04-16,Athletics,133,,10,8,0.556,-,W2,72,79,-7,8,2026-04-16 05:19:49
standing,2026-04-16,Rangers,140,,9,9,0.5,1.0,L2,73,64,9,5,2026-04-16 05:19:49
standing,2026-04-16,Angels,108,,9,10,0.474,1.5,L1,94,94,0,5,2026-04-16 05:19:49
standing,2026-04-16,Mariners,136,,8,11,0.421,2.5,L2,76,69,7,4,2026-04-16 05:19:49
standing,2026-04-16,Astros,117,,8,11,0.421,2.5,W2,105,114,-9,2,2026-04-16 05:19:49
standing,2026-04-16,Braves,144,,12,7,0.632,-,W2,106,62,44,6,2026-04-16 05:19:49
standing,2026-04-16,Marlins,146,,9,10,0.474,3.0,L2,88,86,2,3,2026-04-16 05:19:49
standing,2026-04-16,Phillies,143,,8,10,0.444,3.5,L2,72,97,-25,3,2026-04-16 05:19:49
standing,2026-04-16,Nationals,120,,8,10,0.444,3.5,L1,99,110,-11,5,2026-04-16 05:19:49
standing,2026-04-16,Mets,121,,7,12,0.368,5.0,L8,65,79,-14,2,2026-04-16 05:19:49
standing,2026-04-16,Pirates,134,,11,7,0.611,-,W1,88,68,20,6,2026-04-16 05:19:49
standing,2026-04-16,Reds,113,,11,7,0.611,-,W2,64,74,-10,6,2026-04-16 05:19:49
standing,2026-04-16,Cardinals,138,,10,8,0.556,1.0,W2,80,97,-17,6,2026-04-16 05:19:49
standing,2026-04-16,Brewers,158,,9,8,0.529,1.5,W1,89,74,15,3,2026-04-16 05:19:49
standing,2026-04-16,Cubs,112,,9,9,0.5,2.0,W2,94,75,19,5,2026-04-16 05:19:49
standing,2026-04-16,Dodgers,119,,14,4,0.778,-,W3,105,59,46,8,2026-04-16 05:19:49
standing,2026-04-16,Padres,135,,12,6,0.667,2.0,W7,85,67,18,9,2026-04-16 05:19:49
standing,2026-04-16,Arizona Diamondbacks,109,,11,8,0.579,3.5,W2,83,87,-4,7,2026-04-16 05:19:49
standing,2026-04-16,Giants,137,,6,12,0.333,8.0,L4,55,82,-27,3,2026-04-16 05:19:49
standing,2026-04-16,Rockies,115,,6,12,0.333,8.0,L6,72,81,-9,4,2026-04-16 05:19:49
standing,2026-04-17,Rays,139,,11,7,0.611,-,W6,91,91,0,8,2026-04-17 04:44:39
standing,2026-04-17,Yankees,147,,10,9,0.526,1.5,L1,86,76,10,3,2026-04-17 04:44:39
standing,2026-04-17,Orioles,110,,9,10,0.474,2.5,L3,79,82,-3,6,2026-04-17 04:44:39
standing,2026-04-17,Blue Jays,141,,7,11,0.389,4.0,L2,68,93,-25,3,2026-04-17 04:44:39
standing,2026-04-17,Red Sox,111,,7,11,0.389,4.0,W1,77,86,-9,5,2026-04-17 04:44:39
standing,2026-04-17,Twins,142,,11,8,0.579,-,L1,103,86,17,8,2026-04-17 04:44:39
standing,2026-04-17,Guardians,114,,11,9,0.55,0.5,W1,79,83,-4,5,2026-04-17 04:44:39
standing,2026-04-17,Tigers,116,,10,9,0.526,1.0,W6,84,71,13,6,2026-04-17 04:44:39
standing,2026-04-17,Royals,118,,7,12,0.368,4.0,L4,65,79,-14,3,2026-04-17 04:44:39
standing,2026-04-17,White Sox,145,,6,13,0.316,5.0,L3,60,100,-40,2,2026-04-17 04:44:39
standing,2026-04-17,Rangers,140,,10,9,0.526,-,W1,82,70,12,6,2026-04-17 04:44:39
standing,2026-04-17,Athletics,133,,10,9,0.526,-,L1,78,88,-10,7,2026-04-17 04:44:39
standing,2026-04-17,Angels,108,,10,10,0.5,0.5,W1,105,98,7,5,2026-04-17 04:44:39
standing,2026-04-17,Mariners,136,,8,12,0.4,2.5,L3,78,74,4,4,2026-04-17 04:44:39
standing,2026-04-17,Astros,117,,8,12,0.4,2.5,L1,107,117,-10,2,2026-04-17 04:44:39
standing,2026-04-17,Braves,144,,12,7,0.632,-,W2,106,62,44,6,2026-04-17 04:44:39
standing,2026-04-17,Marlins,146,,9,10,0.474,3.0,L2,88,86,2,3,2026-04-17 04:44:39
standing,2026-04-17,Nationals,120,,9,10,0.474,3.0,W1,107,117,-10,6,2026-04-17 04:44:39
standing,2026-04-17,Phillies,143,,8,10,0.444,3.5,L2,72,97,-25,3,2026-04-17 04:44:39
standing,2026-04-17,Mets,121,,7,12,0.368,5.0,L8,65,79,-14,2,2026-04-17 04:44:39
standing,2026-04-17,Pirates,134,,11,8,0.579,-,L1,95,76,19,5,2026-04-17 04:44:39
standing,2026-04-17,Reds,113,,11,8,0.579,-,L1,64,77,-13,5,2026-04-17 04:44:39
standing,2026-04-17,Cardinals,138,,10,8,0.556,0.5,W2,80,97,-17,6,2026-04-17 04:44:39
standing,2026-04-17,Brewers,158,,10,8,0.556,0.5,W2,91,75,16,4,2026-04-17 04:44:39
standing,2026-04-17,Cubs,112,,9,9,0.5,1.5,W2,94,75,19,5,2026-04-17 04:44:39
standing,2026-04-17,Dodgers,119,,14,4,0.778,-,W3,105,59,46,8,2026-04-17 04:44:39
standing,2026-04-17,Padres,135,,13,6,0.684,1.5,W8,90,69,21,9,2026-04-17 04:44:39
standing,2026-04-17,Arizona Diamondbacks,109,,11,8,0.579,3.5,W2,83,87,-4,7,2026-04-17 04:44:39
standing,2026-04-17,Giants,137,,7,12,0.368,7.5,W1,58,82,-24,4,2026-04-17 04:44:39
standing,2026-04-17,Rockies,115,,7,12,0.368,7.5,W1,75,83,-8,4,2026-04-17 04:44:39
